village_code,village_name_marathi,village_name_english,taluka_name_marathi,taluka_name_english,Marginal,Small,Semi-medium,Medium,Large,Marginal_count,Small_count,Semi-medium_count,Medium_count,Large_count
2707000100635600,झील्पी,Jhilpi,धारणी,Dharani,51.92999999999999,189.31999999999996,320.98000000000013,266.79999999999995,10.86,124,130,112,48,1
2707000100635700,साद्राबाडी,Sadrabadi,धारणी,Dharani,35.09000000000001,136.64000000000001,175.79,100.19999999999999,0.0,98,94,65,18,0
2707000100635800,पाथरपूर,Patharapura,धारणी,Dharani,24.15,102.97000000000001,177.38999999999996,111.99999999999999,0.0,118,72,67,21,0
2707000100635900,सालई,Salai,धारणी,Dharani,42.603000000000016,102.22,201.00000000000006,81.93000000000002,0.0,123,75,78,15,0
2707000100636000,बोबदो,Bobado,धारणी,Dharani,39.31,148.4500000000001,203.17000000000002,109.10000000000001,0.0,84,99,78,19,0
2707000100636100,मांडू,Mamdu,धारणी,Dharani,31.809999999999988,57.259999999999984,129.41000000000003,30.78,0.0,70,42,47,5,0
2707000100636200,बिबामल,Bibamala,धारणी,Dharani,18.340000000000003,101.24000000000001,109.22000000000001,83.12,0.0,112,72,43,16,0
2707000100636300,लाकटु,Lakatu,धारणी,Dharani,44.26000000000001,101.13999999999996,80.55,20.05,0.0,171,72,31,4,0
2707000100636400,राणापिसा,Ranapisa,धारणी,Dharani,35.51,119.28999999999999,116.67999999999999,74.61000000000001,0.0,184,82,44,13,0
2707000100636500,राजपूर,Rajapura,धारणी,Dharani,41.73999999999999,141.90999999999994,111.43000000000002,123.91999999999999,10.48,182,101,42,25,1
2707000100636600,गौलानडोह,Gaulanadoha,धारणी,Dharani,45.71000000000001,90.65,110.27000000000005,74.81,0.0,216,66,40,15,0
2707000100636700,ढोमणाढाणा,Dhomanadhana,धारणी,Dharani,7.34,36.91000000000001,53.35000000000001,22.75,0.0,47,28,19,4,0
2707000100636800,सुसर्दा,Susarda,धारणी,Dharani,36.53000000000001,115.35000000000002,161.92000000000004,87.24999999999999,0.0,131,80,60,17,0
2707000100636900,नागझीरा,Nagajhira,धारणी,Dharani,52.32999999999999,152.86,144.57000000000005,78.50999999999999,0.0,178,114,58,16,0
2707000100637000,नारदु,Naradu,धारणी,Dharani,41.29999999999998,98.95000000000002,104.26000000000002,66.53999999999999,22.5,160,73,37,12,2
2707000100637100,रेहट्या,Rehatya,धारणी,Dharani,10.160000000000002,60.11000000000001,90.25000000000001,27.240000000000002,0.0,49,43,34,6,0
2707000100637200,भंवर,Bhamvara,धारणी,Dharani,23.119999999999997,61.420000000000016,131.14999999999998,50.480000000000004,0.0,134,45,57,9,0
2707000100637300,हीराबंबई,Hirabambai,धारणी,Dharani,51.56,64.67999999999999,92.96000000000001,45.81,0.0,210,47,33,10,0
2707000100637400,दादरा,Dadara,धारणी,Dharani,32.33000000000001,67.81,92.71,35.730000000000004,0.0,134,50,38,8,0
2707000100637500,खिडकी,Khidaki,धारणी,Dharani,2.0,34.18,46.050000000000004,67.63,0.0,13,24,20,15,0
2707000100637600,गोलाई,Golai,धारणी,Dharani,42.959999999999994,148.12999999999997,85.08999999999999,36.419999999999995,0.0,189,108,34,6,0
2707000100637700,कंजोली,Kamjoli,धारणी,Dharani,2.3600000000000003,12.389999999999997,109.44000000000001,165.75,22.24,39,8,37,27,2
2707000100637800,राणीगाव,Ranigava,धारणी,Dharani,16.21,111.32000000000002,278.62999999999994,311.78000000000014,20.83,165,78,118,53,2
2707000100637900,शिवाझीरी,Shivajhiri,धारणी,Dharani,9.66,29.26,18.17,14.680000000000001,0.0,69,20,7,3,0
2707000100638000,डाबका,Dabaka,धारणी,Dharani,23.39,70.43999999999998,145.4,116.27000000000001,10.62,147,50,54,21,1
2707000100638100,कोल्डाढाना,Koldadhana,धारणी,Dharani,20.580000000000002,128.86,278.50000000000017,90.52999999999999,0.0,65,86,111,17,0
2707000100638200,सावलीखेडा,Savalikheda,धारणी,Dharani,36.56000000000001,183.24999999999991,221.35000000000005,175.53,24.450000000000003,104,130,86,34,2
2707000100638300,खिडकी कलम,Khidaki Kalama,धारणी,Dharani,20.520000000000007,65.21999999999998,216.20000000000005,104.40999999999997,0.0,121,47,78,20,0
2707000100638400,टेंब्रुखेडा,Tembrukheda,धारणी,Dharani,11.07,24.490000000000002,20.43,14.79,0.0,38,17,9,3,0
2707000100638500,बारातांडा,Baratamda,धारणी,Dharani,18.080000000000005,50.250000000000014,73.64,42.39,0.0,60,37,30,8,0
2707000100638600,दाभीयाखेडा,Dabhiyakheda,धारणी,Dharani,1.9000000000000001,1.4,4.640000000000001,0.0,0.0,17,1,2,0,0
2707000100638700,बिरोटी,Biroti,धारणी,Dharani,7.5600000000000005,67.30999999999999,48.879999999999995,12.75,0.0,30,50,21,3,0
2707000100638800,जामपाणी,Jamapani,धारणी,Dharani,5.85,28.7,23.55,0.0,0.0,34,21,8,0,0
2707000100639000,चेंडो,Chemdo,धारणी,Dharani,23.640000000000004,80.19999999999999,118.32,97.45999999999998,0.0,97,54,48,20,0
2707000100639100,धुलघाटरेल्वे,Dhulaghatarelve,धारणी,Dharani,6.16,15.94,31.919999999999998,9.06,0.0,37,12,12,2,0
2707000100639200,पलसकुंडी,Palasakumdi,धारणी,Dharani,16.38,36.050000000000004,21.66,0.0,0.0,36,25,8,0,0
2707000100639300,तलई रेल्वे,Talai Relve,धारणी,Dharani,5.12,13.02,20.860000000000003,68.58,0.0,27,10,7,13,0
2707000100639400,रत्नापुर,Ratnapura,धारणी,Dharani,27.270000000000003,49.97999999999998,97.78000000000002,108.16,0.0,51,41,38,20,0
2707000100639500,बेरदाभुरू,Beradabhuru,धारणी,Dharani,67.51999999999998,174.2599999999999,131.04,58.92999999999999,0.0,133,126,47,12,0
2707000100639600,मोखा,Mokha,धारणी,Dharani,37.589999999999996,66.29,100.17999999999998,44.84000000000001,0.0,67,46,39,8,0
2707000100639700,चिंचघाट,Chimchaghata,धारणी,Dharani,51.619999999999976,129.87999999999994,177.39,106.36999999999998,10.49,106,96,67,21,1
2707000100639800,गोंडवाडी,Gomdavadi,धारणी,Dharani,44.83000000000002,100.66000000000003,137.54000000000002,92.28000000000002,11.64,70,71,52,17,1
2707000100639900,कलमखार,Kalamakhara,धारणी,Dharani,31.893299999999986,270.77889999999985,256.6215,125.7886,0.0,160,193,101,23,0
2707000100640000,बाबंदा,Babamda,धारणी,Dharani,15.940000000000003,59.51999999999999,42.0,15.44,0.0,26,42,17,3,0
2707000100640100,कुसुमकोट बु.,Kusumakota Bu.,धारणी,Dharani,75.75000000000006,230.91929999999982,133.0525,69.86,0.0,162,167,51,13,0
2707000100640200,कुसुमकोट खु.,Kusumakota Khu.,धारणी,Dharani,66.63000000000001,167.12810000000002,158.63419999999996,93.77999999999999,33.91,118,122,63,18,3
2707000100640300,नारवाटी,Naravati,धारणी,Dharani,22.600000000000005,77.78,95.47999999999999,54.699999999999996,11.44,45,55,36,9,1
2707000100640400,गौलखेडा,Gaulakheda,धारणी,Dharani,15.570000000000002,40.86000000000001,48.31000000000001,66.94,0.0,28,26,17,12,0
2707000100640500,धुलघाट गडगा,Dhulaghata Gadaga,धारणी,Dharani,32.64000000000001,133.6899999999999,123.32999999999998,18.16,0.0,69,95,50,3,0
2707000100640600,भोकरबर्डी,Bhokarabardi,धारणी,Dharani,77.87,226.54000000000008,168.06000000000003,58.65,0.0,146,167,65,12,0
2707000100640700,गंभेरी,Gambheri,धारणी,Dharani,52.190000000000005,133.14000000000001,134.28999999999996,106.83,0.0,100,97,57,19,0
2707000100640800,पानखाल्या,Panakhalya,धारणी,Dharani,32.500000000000014,147.9600000000001,130.71,48.06,14.26,68,108,49,8,1
2707000100640900,अंबाडी,Ambadi,धारणी,Dharani,49.07000000000002,142.61999999999998,131.60000000000002,64.08,0.0,88,103,48,11,0
2707000100641000,शिरपूर,Shirapura,धारणी,Dharani,35.97,69.24999999999996,110.93,99.39999999999999,10.66,98,49,42,18,1
2707000100641100,राणीतंबोली,Ranitamboli,धारणी,Dharani,35.839999999999975,126.40999999999998,183.75999999999993,114.07,0.0,119,90,72,21,0
2707000100641200,रोहीनीखेडा,Rohinikheda,धारणी,Dharani,46.59000000000002,121.73000000000002,166.47,44.67,0.0,86,86,62,9,0
2707000100641300,दाबीदा,Dabida,धारणी,Dharani,38.85,128.04000000000002,106.40999999999998,58.29,0.0,120,92,40,11,0
2707000100641400,खापरखेडा,Khaparakheda,धारणी,Dharani,84.16000000000001,234.8,224.42,119.34,0.0,156,166,87,23,0
2707000100641500,नागूढाना,Nagudhana,धारणी,Dharani,22.500000000000007,45.089999999999996,54.309999999999995,11.57,0.0,44,35,21,2,0
2707000100641600,खारी,Khari,धारणी,Dharani,62.03000000000002,94.92000000000003,110.64,79.25000000000001,10.18,141,67,40,15,1
2707000100641800,खाऱ्याटेंब्रु,Kharyatembru,धारणी,Dharani,70.69999999999997,114.88000000000002,233.67999999999998,152.18,15.32,103,80,92,27,1
2707000100641900,सोनाबर्डी,Sonabardi,धारणी,Dharani,26.1,81.79000000000003,132.95000000000002,103.27000000000001,0.0,53,57,52,17,0
2707000100642000,दहेंडा,Dahemda,धारणी,Dharani,23.93,81.11,166.18999999999997,71.63999999999999,10.25,54,57,64,12,1
2707000100642100,काल्पी,Kalpi,धारणी,Dharani,47.539999999999985,85.09000000000002,96.71999999999998,46.54999999999998,0.0,83,58,38,9,0
2707000100642200,टिंगऱ्या,Timgarya,धारणी,Dharani,24.090000000000014,75.62999999999998,116.37,45.64,10.85,45,54,47,8,1
2707000100642300,धारणी,Dharani,धारणी,Dharani,129.85666899999995,233.246578,238.92999999999998,93.02000000000001,0.0,2079,164,92,17,0
2707000100642400,तलई,Talai,धारणी,Dharani,28.256868000000026,94.26959999999997,67.92999999999999,59.04,19.37,853,65,27,10,1
2707000100642500,टाकरखेडा,Takarakheda,धारणी,Dharani,21.389999999999997,105.02999999999994,92.94000000000001,28.61,0.0,52,77,35,5,0
2707000100642600,दीया,Diya,धारणी,Dharani,42.819999999999986,187.49000000000012,131.55999999999997,80.74000000000001,11.38,83,133,52,16,1
2707000100642700,बासपाणी,Basapani,धारणी,Dharani,48.730000000000004,82.13,116.47000000000003,45.779999999999994,0.0,96,58,46,10,0
2707000100642800,मांडवा,Mamdava,धारणी,Dharani,43.62999999999998,97.41999999999997,154.37,112.87,0.0,117,67,57,22,0
2707000100642900,टेंबली,Tembali,धारणी,Dharani,45.089999999999996,211.67999999999992,204.95,118.76000000000002,10.59,114,148,81,22,1
2707000100643000,जुटपाणी,Jutapani,धारणी,Dharani,41.43,122.85,174.44000000000005,151.87999999999997,11.89,98,85,71,27,1
2707000100643100,झापल,Jhapala,धारणी,Dharani,10.530000000000001,62.320000000000014,131.10000000000002,50.169999999999995,20.74,68,46,51,9,2
